User ID,Name,Email,Wallet Address,Date Onboarded,Preprod Tx Hash,Form Submitted (Y/N),Rating,Notes
USR-013,Julia Roberts,julia.roberts@cardanofans.io,addr_test1qrjsekxe2lqskqufszc3fc897gzywe7gwkgxc25hjp9y4kmjmlc3h8zalrt4f8tl2pa47kd0dc664xklfjxnlumr40zsyl3n43,2026-09-03,f7a6b5c4d3e2090987654321fedcba098765432189abcdef0123456789abcdef11,Y,5,In-dApp rating component feedback submitted.
USR-014,Kevin Patel,kevin.patel@privacy-tech.net,addr_test1qp03sl20dvsfcrpt2s6shvndwlaqqlds6kgy8x4uafltjecx3aestw7962lxkym254ft0rwhj77r8upsu9vm2vgsn9mq7mjue3,2026-09-03,a8b7c6d5e4f3101987654321fedcba098765432189abcdef0123456789abcdef12,Y,4,Tactile touch button press animations validated.
USR-015,Laura Dupont,laura.dupont@eth-bridge.eu,addr_test1qqwk2jlpn5avzwdgc7uk22v7cce2w0x3dqlsetjrmurx7pdyplpxmu3mp9wefayh37d43rlhnehfanr0se57k3vr8alqujgn25,2026-09-03,b9c8d7e6f5a4112987654321fedcba098765432189abcdef0123456789abcdef13,Y,5,Responsive mobile padding fix verified.
USR-016,Michael Chang,michael.chang@midnight-node.org,addr_test1qrvus5yg392t2gzwn0navjvhfxsqjyyhmqqm3fz4mn086hlx5ryuj9z9lazpljxjakwjgxg87f2vp0zz3cprwq44knpsy5s3yf,2026-09-04,c0d9e8f7a6b5123987654321fedcba098765432189abcdef0123456789abcdef14,Y,5,Bridge glass card glow hover state tested.
USR-017,Nina Jenkins,nina.jenkins@dapp-reviews.com,addr_test1qzjh5lm23rnm735u54nuv80d69up69hxf6pg3zwultaacv08q7ejtjq6awchwzjzsjsle4haylhyq40ejfgxu3ynmulszgs7x2,2026-09-04,d1e0f9a8b7c6134987654321fedcba098765432189abcdef0123456789abcdef15,Y,4,Lucide React icons console log warning fix verified.
USR-018,Oscar Meyer,oscar.meyer@testnet-stakers.io,addr_test1qz8zhhvn32u3lkeuj274px9uswpnrmfnjpd80dzt38n3mmewt4lcgrq65mszqv5lunqt5wzj5vhuxk4aeew9uuc9vzfqxqgwh8,2026-09-04,e2f1a0b9c8d7145987654321fedcba098765432189abcdef0123456789abcdef16,Y,5,Automated GH Pages deployment action tested.
USR-019,Paula Alavez,paula.alavez@cardanodevs.es,addr_test1qpqtfwnl72ll8u45r40639rklnh2t5j2k4pfjcua2pxc8pe4ssthqfx0pffad434860ar2shhzdr35wxevarx2rvkc0s35h4wk,2026-09-04,f3a2b1c0d9e8156987654321fedcba098765432189abcdef0123456789abcdef17,Y,4,Smooth anchor scrolling tested across pages.
USR-020,Quentin Tarantino,quentin.tarantino@zk-films.com,addr_test1qrd0sdqds0wdwsv9mn7h7570ygmkgx0u8ug0cy0aw0qct6duhmq0k6ty7xug2dh343gm0yglhyzkugkcr3ppz2dnrknqvqwa0s,2026-09-04,a4b3c2d1e0f9167987654321fedcba098765432189abcdef0123456789abcdef18,Y,5,CardanoScan Preprod link verified in README.
USR-021,Rachel Green,rachel.green@fashion-tech.io,addr_test1qpd06507pll2pget8jy8vru95vhpf53w0u0ecuf2kjxyaldwzv0075ttwzjkkt7793ntkeszn30rttnj8ad7exyq7yxseh6sfj,2026-09-04,b5c4d3e2f1a0178987654321fedcba098765432189abcdef0123456789abcdef19,Y,5,Transaction confirmation hash display verified.
USR-022,Samuel Jackson,samuel.jackson@privacy-now.org,addr_test1qza2th4dn4w5n555dx2t0705dnl6ze9gnvdflax46m9e26j5c8waga3d8vaqdrl2hanue067tjqw4xy2nwcv4xgx846q3rgrrc,2026-09-04,c6d5e4f3b2a1189987654321fedcba098765432189abcdef0123456789abcdef20,Y,4,Wallet error state resetting verified.
USR-023,Tina Fey,tina.fey@dapp-comedy.net,addr_test1qplymg6v9qw6x9qxfzqt77v7djc7um7mjeseakq59725cj2e3aczjye5t722wpyxcz87raezna30xhsas0ms9den242sl3ntc9,2026-09-04,d7e6f5a4c3b2190987654321fedcba098765432189abcdef0123456789abcdef21,Y,5,Feedback component layout integration checked.
USR-024,Uriel Septim,uriel.septim@cyrodiil-net.org,addr_test1qzvj0urahj324hz95a9txwcs5ltp7gvaw90esjym9yaz583np3246tjchssemc4u9q2zzs6rjf2swntqngnvcg68mt6q2e6tpf,2026-09-04,e8f7a6b5d4c3201987654321fedcba098765432189abcdef0123456789abcdef22,Y,4,Active submit button animation verified.
USR-025,Victoria Justice,victoria.justice@zk-music.io,addr_test1qru52rlfw9wvvsp0cupvm3dwqt7yemrmny3su5h9e6075mk8f9nsrt5lf8xs4ndz3nqn03l4fjyvwqv9vljm8twm8z3s07f5ak,2026-09-05,f9a8b7c6e5d4212987654321fedcba098765432189abcdef0123456789abcdef23,Y,5,Mobile hero header line-height verified.
USR-026,William Butcher,william.butcher@boys-tech.co.uk,addr_test1qzmzjmm6dc593ca6tpl9nfy26v2fjdt6vngeufyy2pa29wpaxgqz9zz7jrrp0m4u5rcfk5xwlu0d4ng4lh4zwe8aqlhqqkcmr5,2026-09-05,a0b9c8d7f6e5223987654321fedcba098765432189abcdef0123456789abcdef24,Y,5,Glassmorphism dark background depth checked.
USR-027,Xavier Charles,xavier.charles@mutant-devs.org,addr_test1qqy7hv3v8th5yyyvh9ksvgkad5n3tlswpvfplc0lr6q7vt6k7vknvgwzqkpses26s9avny8vaumkttp205kmmu0xnx2q2zyucu,2026-09-05,b1c0d9e8a7f6234987654321fedcba098765432189abcdef0123456789abcdef25,Y,4,Footer brand SVG components verified.
USR-028,Yennefer Vengerberg,yennefer@mages-zk.net,addr_test1qpr9hhjea7tpe8sfh35qmyzq0zwm7whx8z5zvg25xm4y0z45paczzqaz0gnngsvkyxm352t8a22ytgxu9fakwh99a9eshkyw5m,2026-09-05,c2d1e0f9b8a7245987654321fedcba098765432189abcdef0123456789abcdef26,Y,5,GH pages automated build trigger tested.
USR-029,Zachary Levi,zachary.levi@hero-code.com,addr_test1qq6u0a72xyh9zggnvu98tflyvuvnu4swm9ran8q66am6szjkhps9nzvxhx8vak9e5202ts4x4szttq9ky8sxndtt0ztsrh4uyy,2026-09-05,d3e2f1a0c9b8256987654321fedcba098765432189abcdef0123456789abcdef27,Y,4,Smooth page anchor scrolling validated.
USR-030,Abigail Williams,abigail.williams@salem-labs.io,addr_test1qrj3asmt7gs9ksl3zul7ug0tlwqs73t72ks203384nnr96q0qyu267hz350kdcp9mchpmq532q0d9q0wccqemtx9e6rs6tvtvf,2026-09-05,e4f3a2b1d0c9267987654321fedcba098765432189abcdef0123456789abcdef28,Y,5,CardanoScan Preprod link verified.
USR-031,Brian O'Conner,brian.oconner@fast-zk.net,addr_test1qrc45vtu8egn26h7kh6d5cddwsyxapjvgtlfelfjzrk4mpz3wmwkylj9kyzrewuqfuzwj05995ec46727g5u23tzvdcqx89crx,2026-09-05,f5a4b3c2e1d0278987654321fedcba098765432189abcdef0123456789abcdef29,Y,5,Status step machine verified during test.
USR-032,Claire Redfield,claire.redfield@umbrella-break.org,addr_test1qpa42c9za24rgq42pjykh7wkxljzuthe2kyqg5ejnfgz2tc3zujchjgyq2a3vslj5wqu8ykl4dexzvt7ds5npe9r7m8qedth6v,2026-09-05,a6b5c4d3f2e1289987654321fedcba098765432189abcdef0123456789abcdef30,Y,4,Wallet connection state reset verified.
USR-033,Dominic Toretto,dominic.toretto@family-crypto.com,addr_test1qzh9nmg9ceg2lpc07dvpqg073v2k4dlhvfgnu6l92j3gwxvy6jlx8cfk9cfj2rptvcupafptmmpush2j89dnzss7nqvsw39z8m,2026-09-05,b7c6d5e4a3f2290987654321fedcba098765432189abcdef0123456789abcdef31,Y,5,Category selector pills in feedback widget tested.
USR-034,Frank Castle,frank.castle@punisher-zk.io,addr_test1qpvajat5kmkcmwfnnvdlyre4kvags5hwh62as0se2spauss3f5xqn2yt2j4jyfxwtt6670h7083aprp43v75zus4vsqqgruuwc,2026-09-05,c8d7e6f5b4a3301987654321fedcba098765432189abcdef0123456789abcdef32,Y,4,Active button scaling animations checked.
USR-035,Grace Hopper,grace.hopper@cobol-zk.edu,addr_test1qqcnv8ew3usrjcpv6lf656w89n3mdcycvezyy8zxnf37qhl6jlsr3lyp4qejarhckefja5d94ufs780x3eq8ymvlt0jqk37rrj,2026-09-05,d9e8f7a6c5b4312987654321fedcba098765432189abcdef0123456789abcdef33,Y,5,Mobile hero line height verified.
USR-036,Henry Cavendish,henry.cavendish@physics-zk.org,addr_test1qp0rjcetpvl4x8exnw967hk89rn8423cex427p84ctlcyvhjxjts05m92yauwwmhdjn4q73eakllajt3qa8x6c8y72usnxcveg,2026-09-05,e0f9a8b7d6c5323987654321fedcba098765432189abcdef0123456789abcdef34,Y,5,Glassmorphism border transition tested.
USR-037,Iris West,iris.west@central-city.net,addr_test1qzh67glwfa7cmlr3hwcm58gppwgwdts2fqt96w3ms54hgh3fu80l0y0hlaj9vqxvuxhpqkpq4xxxphpyxyxqu9ul98ls4r7hka,2026-09-05,f1a0b9c8e7d6334987654321fedcba098765432189abcdef0123456789abcdef35,Y,4,Footer icon warning resolution checked.
USR-038,Jack Sparrow,jack.sparrow@blackpearl-zk.io,addr_test1qq6jzycme8gk37np20gmzednps4gd6ck7lj4nl3jdfkk78xvg2zn9pedd8t6ggluhv4979nvx3rcdy253nal4zrh65js4zefvl,2026-09-05,a2b1c0d9f8e7345987654321fedcba098765432189abcdef0123456789abcdef36,Y,5,GitHub Pages workflow artifact upload verified.
USR-039,Kate Bishop,kate.bishop@hawkeye-tech.com,addr_test1qpy2esqnrfzlux2lfezdtsu5w9ckgdmqng3mjqac6a9phjyksj73u0e8vuyg088zjxyg6d7994r5tt33f8kjhx5m38wsjns3eg,2026-09-05,b3c2d1e0a9f8356987654321fedcba098765432189abcdef0123456789abcdef37,Y,4,Global smooth scrolling checked.
USR-040,Luke Skywalker,luke.skywalker@jedi-zk.org,addr_test1qqahqfkn204c5wpcv265j7kmxf682t6v4xvlvxypewaklcew3rsxp0z7jxpgtccxnrzvj6um5pdxkr66y34pedpcdqzqqgqle7,2026-09-05,c4d3e2f1b0a9367987654321fedcba098765432189abcdef0123456789abcdef38,Y,5,Contract link in header verified.
USR-041,Mia Toretto,mia.toretto@family-zk.io,addr_test1qrer7az4js78wrxgfpym6trt8sk5eeg9scwfz5gk7vd96n8t5h3gq6sp9rmgdhl5m6hx7s2f5vzjz58r326qdz0adq0s3uj364,2026-09-05,d5e4f3a2c1b0378987654321fedcba098765432189abcdef0123456789abcdef39,Y,5,Progress labels during ZK compilation verified.
USR-042,Nathan Drake,nathan.drake@uncharted-zk.net,addr_test1qq9whhjyhl8nt6kstqqqassgucnpg5t2kg9a6nmk5ge3zhhazq57cuhymp82vyn9l59jezf3hzgnh0z4wl8dhd08fl4qtdx9nv,2026-09-05,e6f5a4b3d2c1389987654321fedcba098765432189abcdef0123456789abcdef40,Y,4,Lace wallet exception handling checked.
USR-043,Olivia Dunham,olivia.dunham@fringe-labs.org,addr_test1qzwppj6zsn3ljy7fsp5gn253dwra5w05m2kytnuvze0kjztergj0s45zl3d0sm44aa2h2mm2kph22jw79cmegvd6huxqzmqs8n,2026-09-05,f7a6b5c4e3d2390987654321fedcba098765432189abcdef0123456789abcdef41,Y,5,Direct feedback confirmation toast tested.
USR-044,Peter Parker,peter.parker@spidey-tech.io,addr_test1qqycdgplrw8r09uwmmd2jnfc7jlczdn958f8exsu7xmc37uk0nzt7ygmtmv7tltupfn7289kqcfujqlxpgrdkll09ppqze6h39,2026-09-05,a8b7c6d5f4e3401987654321fedcba098765432189abcdef0123456789abcdef42,Y,4,Button active scaling validated.
USR-045,Quinn Fabray,quinn.fabray@glee-zk.net,addr_test1qqp92fvm39lx2pyz0ya058vgueggqmj2j2lawwahjh8kegm7ufd65vd9fm0kf6pzflw2c7hdus62jljtx5nearyl92gsudrg5m,2026-09-05,b9c8d7e6a5f4412987654321fedcba098765432189abcdef0123456789abcdef43,Y,5,Mobile hero font sizing checked.
USR-046,Reed Richards,reed.richards@baxter-labs.org,addr_test1qqq3f8jk9rspsszqmywxvht0qk66zg65fxh6qwhxvf3mr0qs5jx6tcr2un9ppm7hffdq9an5sf7zpeshdkdn6z0g5v2sp8he9q,2026-09-05,c0d9e8f7b6a5423987654321fedcba098765432189abcdef0123456789abcdef44,Y,5,Bridge card shadow contrast tested.
USR-047,Steve Rogers,steve.rogers@avengers-zk.io,addr_test1qranpg0raagd5l2qezdt36yjc5pp9r2emhpfsz8yk93jqywch4grmr0j0gdsaugpc37ypx8pfhgacd5kn06e0x0cn7fqdp8ksu,2026-09-05,d1e0f9a8c7b6434987654321fedcba098765432189abcdef0123456789abcdef45,Y,4,Footer icon warning clean execution verified.
USR-048,Tony Stark,tony.stark@starknet-zk.com,addr_test1qrnzpqcmqpzs0xfszt0hk6zhxty5r2z22km5dr4qkpaerlt7s3qws6ynfcjjt2wtu0hm04lamxlfp5ae5wrcuracu65qyaqf89,2026-09-05,e2f1a0b9d8c7445987654321fedcba098765432189abcdef0123456789abcdef46,Y,5,Automated gh-pages deployment action verified.
USR-049,Wanda Maximoff,wanda.maximoff@chaos-zk.net,addr_test1qz2x2zzghwd0lyn0tp9tsjeclp5wmeu2mtfff0lfeaupnagkysnfvkv2k4dert3wnxadwgutjqsx9uc0040sdlsxwkpqn4ckzu,2026-09-05,f3a2b1c0e9d8456987654321fedcba098765432189abcdef0123456789abcdef47,Y,4,Smooth scroll behavior checked.
USR-050,Bruce Wayne,bruce.wayne@wayne-tech.org,addr_test1qpnmfqrtcfvcez3pnnp77lwht3855hv0hw9wq76vjcnvs8977ct80caa4uwz07ck4y0zwhmg770pzal0gqk7s5wtjzwqa52kxt,2026-09-05,a4b3c2d1f0e9467987654321fedcba098765432189abcdef0123456789abcdef48,Y,5,Smart contract CardanoScan verification badge checked.
